6,214%;KNIP11;KINEA ÍNDICE DE PREÇOS;;;;
Seguir;;;;;;
"
";;;;;;
0,245%;LGCP11;LOGCP INTER FDO INV IMOB;;;;
Seguir;;;;;;
"
";;;;;;
0,218%;BLMG11;BLUEMACAW LOGÍSTICA;;;;
Seguir;;;;;;
"
";;;;;;
0,211%;SNFF11;SUNO FUNDO DE FUNDOS;;;;
Seguir;;;;;;
"
";;;;;;
0,211%;HGFF11;CSHG IMOB. FOF – FDO INV. IMOB. – FII;;;;
Seguir;;;;;;
"
";;;;;;
0,211%;BTRA11;FDO INV IMOB BTG PACTUAL TERRAS AGRÍCOLAS;;;;
Seguir;;;;;;
"
";;;;;;
0,205%;QAGR11;QUASAR AGRO – FDO INV. IMOB.;;;;
Seguir;;;;;;
"
";;;;;;
0,204%;NSLU11;HOSPITAL NOSSA SRA LOURDES;;;;
Seguir;;;;;;
"
";;;;;;
0,202%;WHGR11;FII WHG REAL;;;;
Seguir;;;;;;
"
";;;;;;
0,193%;RBFF11;RIO BRAVO IFIX FDO INV IMOB;;;;
Seguir;;;;;;
"
";;;;;;
0,192%;VIUR11;VINCI IMÓVEIS URBANOS;;;;
Seguir;;;;;;
"
";;;;;;
0,188%;HSAF11;HSI ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBI;;;;
Seguir;;;;;;
"
";;;;;;
0,178%;VTLT11;VOTORANTIM LOGÍSTICA;;;;
Seguir;;;;;;
"
";;;;;;
0,16%;CPFF11;CAPITÂNIA REIT FOF – FDO. INVEST. IMOB;;;;
Seguir;;;;;;
"
";;;;;;
0,16%;PLCR11;FDO INV. IMOB. PLURAL RECEBIVEIS;;;;
Seguir;;;;;;
"
";;;;;;
0,16%;BLMR11;BLUEMACAW RENDA + FOF;;;;
Seguir;;;;;;
"
";;;;;;
0,148%;MORE11;MORE REAL ESTATE FOF FII FDO. INV. IMOB.;;;;
Seguir;;;;;;
"
";;;;;;
0,14%;XPPR11;XP PROPERTIES FDO. INV. IMOB.;;;;
Seguir;;;;;;
"
";;;;;;
0,136%;RBHG11;RIO BRAVO CREDITO IMOB HIGH GRADE;;;;
Seguir;;;;;;
"
";;;;;;
0,132%;VCRI11;FII VINCI CR;;;;
Seguir;;;;;;
"
";;;;;;
0,131%;JSAF11;JS ATIVOS FINANCEIROS FUNDO DE INVESTIMENTO IMOBIL;;;;
Seguir;;;;;;
"
";;;;;;
0,126%;CYCR11;CYRELA CRÉDITO – FUNDO DE INVESTIMENTO IMOBILIÁRIO;;;;
Seguir;;;;;;
"
";;;;;;
0,122%;NCHB11;FII NCH EQI;;;;
Seguir;;;;;;
"
";;;;;;
0,119%;MORC11;MORE RECEBÍVEIS IMOBILIÁRIOS FII;;;;
Seguir;;;;;;
"
";;;;;;
0,113%;SADI11;SANTANDER PAPEIS IMOB CDI FDO INV IMOB;;;;
Seguir;;;;;;
"
";;;;;;
0,108%;VSLH11;VERSALHES RECEBÍVEIS IMOBILIÁRIOS;;;;
Seguir;;;;;;
"
";;;;;;
0,101%;ARRI11;FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS;;;;
