ticker,price,patrimonio_mi,div_yield_hist,div_yield,price_to_book,Mean_of_Future_Values_3_mo,Max_of_Future_Values_3_mo,rank_0,size
VGIP11,85.16000366210938,11000.0,0.9945983602356979,0.12240000000000001,0.93,83.74418640136388,85.83528137206784,1.1169593122364965,AAAA
ALZR11,114.9000015258789,11000.0,0.6968577326556488,0.08439999999999999,1.07,114.59323128724786,115.29495951205442,0.957579379015707,AAAA
RZTR11,99.51591491699219,11000.0,1.0120420015059213,0.11460000000000001,1.01,85.99253395846246,89.40565173136736,0.9149949347166766,AAAA
CVBI11,89.5999984741211,10000.0,1.0450487190957747,0.1272,0.95,91.94266303052392,92.50070857266137,1.1212668318919587,AAA
GTWR11,81.79000091552734,11000.0,0.9607938923303613,0.1159,0.86,77.78545891797937,78.43840954447127,1.1474530854339262,AAAA
GGRC11,113.5999984741211,10000.0,0.8631099000909729,0.1027,1.0,106.6448727983122,110.2219176048267,0.9951748843120333,AAA
VGIR11,9.5600004196167,10000.0,1.283758026573323,0.15380000000000002,0.98,9.7431646717415,9.938515906087703,1.1015980050457728,AAA
VGHF11,9.110711097717285,8652.0,1.2544104742202713,0.1399,1.0,8.884214719074398,8.908702850279639,1.0120269025738657,AAA
BTCI11,9.579999923706055,10000.0,1.0756402312524187,0.1291,0.94,9.804446526381549,10.00151683002796,1.1464837946895903,AAA
RZAK11,84.63999938964844,8238.0,1.4464623382729442,0.177,0.91,85.06850179035138,86.36312103270164,1.1708891152279572,AAA
DEVA11,44.65999984741211,14000.0,1.3050988465037296,0.1955,0.46,30.28356067298937,40.99134723304797,2.092856143809345,AAAA
HABT11,85.94000244140625,7889.0,1.3274764963046766,0.1602,0.89,85.6699372857873,88.16556182609769,1.1988582310142155,AAA
VINO11,7.489999771118164,8975.0,3.095238189823382,0.09880000000000001,0.69,6.830282415217089,7.058479240413949,1.3995131477090497,AAA
